,Imperium Prediction and Forecast,lower imperium,upper imperium,Legacy Prediction and Forecast,lower legacy,upper legacy,Panfam Prediction and Forecast,lower panfam,upper panfam,PAPI Prediction and Forecast,lower papi_total,upper papi_total,Imperium Subcap Prediction and Forecast,lower imperium wo caps,upper imperium wo caps,PAPI Subcap Prediction and Forecast,lower papi wo caps,upper papi wo caps
2020-01-13,4241.782423697197,,,2918.7336698390955,,,3083.5669023391592,,,8713.734562703936,,,3940.0847815898496,,,7642.210798202428,,
2020-01-20,4212.63915047378,,,2803.4461017877384,,,3132.2276864732153,,,8419.481544349863,,,3949.114012313947,,,7312.2755746131625,,
2020-01-27,4210.605898853542,,,2897.7014783702666,,,3273.41249677766,,,8821.579722343415,,,3920.5214483543054,,,7736.591306873395,,
2020-02-03,3634.5179397860043,,,2398.3816734991865,,,2902.6310289392877,,,7955.961619806676,,,3341.145810224722,,,7059.27236229351,,
2020-02-10,4228.227412895608,,,2716.2014556948193,,,3335.0951808912528,,,9090.121311909266,,,3985.9833711040114,,,8013.38792474035,,
2020-02-17,4249.237679638071,,,2846.289454779797,,,3209.673723193615,,,9052.268375082163,,,3985.230935210337,,,7916.628075514653,,
2020-02-24,4020.157997091215,,,2880.564137173443,,,3073.2864549868937,,,8841.577500289808,,,3709.8393981253657,,,7831.764929062606,,
2020-03-02,3994.4034765681954,,,3054.27445930488,,,3196.6518232140784,,,9346.521393436236,,,3707.5820904443417,,,8293.356996680279,,
2020-03-09,4530.442187181468,,,3577.2715016986126,,,3488.582580178248,,,11142.896394353316,,,4234.384920933908,,,9935.079507883107,,
2020-03-16,4700.56945091926,,,3877.643651275529,,,3672.783672148531,,,11885.092836408896,,,4441.310861483696,,,10785.655444885975,,
2020-03-23,5005.5571939550155,,,3841.8110287730806,,,3829.731835059783,,,11975.797043522893,,,4653.4977834999845,,,10939.5194674252,,
2020-03-30,5134.329796570112,,,3686.017017892868,,,3772.8466930439145,,,11546.559024030666,,,4843.1116287060295,,,10565.963000332547,,
2020-04-06,5019.112204756604,,,3855.0535196978985,,,3755.712614123472,,,11823.67108985926,,,4661.022142436733,,,10818.173099133957,,
2020-04-13,4456.641223080233,,,3277.5285734960917,,,3589.203314856941,,,10177.993629895356,,,4249.342003679408,,,9522.248081885264,,
