date,gsf,init,ph,test,brave,nc,eve chars,imperium,log_imperium,legacy,log_legacy,panfam,log_panfam,papi_total,other papi,log_otherpapi,fraternity,fire,slicy,eve kms,pl,wh space,imperium wo caps,papi wo caps
1/6/2020,2268,703,1505,1284,323,528,29118,4180,3.621176282,2836,3.452706227,2885,3.460145817,8367,2646,3.42258984,1628,801,217,100760,279,4501,3874,7374
1/13/2020,2242,714,1631,1138,385,525,29002,4137,3.616685521,2688,3.429429264,2956,3.47070443,7955,2311,3.363799945,1333,772,206,101662,201,4881,3886,6958
1/20/2020,2223,707,1715,1263,403,648,29193,4134,3.616370472,2809,3.448551739,3162,3.499961866,8518,2547,3.406028945,1568,802,177,102620,208,4910,3848,7493
1/27/2020,1583,536,1445,852,378,551,25237,3284,3.516403148,2168,3.336059278,2621,3.418467021,7306,2517,3.400883216,1664,715,138,89349,178,4156,3078,6639
2/3/2020,2317,646,1799,1050,381,677,28923,4160,3.619093331,2576,3.410945859,3252,3.512150537,8894,3066,3.486572151,2090,807,169,101864,243,4466,3935,7842
2/10/2020,2356,663,1577,1189,356,644,29471,4191,3.622317661,2743,3.438225808,3069,3.486996888,8841,3029,3.481299273,1950,885,194,106017,290,5134,3934,7720
2/17/2020,2127,667,1510,1163,398,620,28803,3853,3.585799009,2787,3.445136969,2870,3.457881897,8546,2889,3.460747542,1893,841,155,102930,235,5188,3568,7613
2/24/2020,2033,698,1654,1176,394,560,29447,3815,3.581494542,3010,3.478566496,3050,3.484299839,9253,3193,3.504198919,2037,938,218,102546,236,5184,3565,8195
3/2/2020,2017,788,1703,1131,375,553,29253,3790,3.57863921,2953,3.470263447,3105,3.492061605,9328,3270,3.514547753,2206,838,226,107148,251,5624,3590,8373
3/9/2020,2220,959,2243,1219,514,446,38252,4594,3.662190991,3906,3.591732239,3628,3.559667278,12110,4576,3.660486016,3235,1090,251,140612,177,6820,4373,10946
